Variables,Full variable name,Description
#,S. No.,
carat,weight of the diamond,
cut,"quality of the cut (Fair, Good, Very Good, Premium, Ideal)","Describe cut quality of the diamond. Quality in increasing order Fair, Good, Very Good, Premium, Ideal"
color,"diamond colour, from J (worst) to D (best)","Color of the diamond, with D being the best and J the worst"
clarity,"a measurement of how clear the diamond is (I1 (worst), SI2, SI1, VS2, VS1, VVS2, VVS1, IF (best))","How obvious inclusions are within the diamond:(in order from best to worst, FL = flawless, I3= level 3 inclusions) FL,IF,"
depth,"total depth percentage = z / mean(x, y) = 2 * z / (x + y)","depth % :The height of a diamond, measured from the culet to the table, divided by its average girdle diameter"
table,width of top of diamond relative to widest point,table%: The width of the diamond's table expressed as a percentage of its average diameter
price,price in US dollars,
x,length in mm ,
y,width in mm,
z,depth in mm,
